case number,Timestamp,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,"What was the length of the tenancy, or in other words, how long had the tenants lived at the residence in question? ",What was the monthly rent?,What was the amount of the rental deposit? ,"If any rent increases occurred, what was the rent after the increase(s)?",What was the total amount of arrears?,Over how many months did the arrears accumulate? ,"If the tenant made a payment on the arrears after the eviction notice was served and/or prior to the hearing, what was the amount of the payment? ","Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?"
TEL-06648-19,12/29/2020 14:42:22,Sonia Anwar-Ali,Toronto,Yes,Yes,No,Yes,No,No,Conditional Order,6.306049004594181,2435.00,1365.9816966067863,0,5240.342916006339,9,0,0,0
HOL-01185-17-RV,12/29/2020 14:57:59,Roger Rodrigues,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1800.00,1200.00,0,11654.00,7,0,0,0
TEL-05886-19,12/29/2020 14:58:06,Shelby Whittick,Whitby,Yes,Yes,No,Yes,No,No,Conditional order,6.306049004594181,1595.9445741324917,1500.00,0,110.45,1,0,0,0
HOL-01336-17-RV,12/29/2020 15:08:52,Karen Wallace,Mississauga,Yes,No,No,Yes,No,No,No relief,14,1800.00,1800.00,0,1448.41,14,1,0,0
HOL-01347-17,12/29/2020 15:37:35,Ruth Carey,Toronto,Yes,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1500.00,0,4710.00,3,0,0,0
HOL-01476-17,12/29/2020 15:31:06,Roderick Flynn,Toronto,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1525.00,1525.00,0,3575.00,5,0,0,0
HOL-01514-17,12/29/2020 15:40:08,Avril Cardoso,Mississauga,Yes,No,No,Yes,No,No,Payment plan,6.306049004594181,1475.00,1475.00,0,2950.00,3,1,0,0
HOL-01517-17,12/29/2020 15:44:27,Roderick Flynn,Toronto,Yes,Yes,No,No,No,No,No relief,6.306049004594181,3235.00,3235.00,0,12940.00,4,0,0,0
HOL-01611-17,12/29/2020 15:49:10,Nancy Henderson,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,2100.00,2100.00,0,4200.00,2,0,0,0
NOL-26612-17,1/6/2021 12:51:28,Lisa Stevens,Sudbury,No,Yes,No,Yes,No,No,No relief,35,1100.00,1100.00,0,3800.00,4,0,1,0
NOL-29035-17,12/29/2020 16:05:52,Gobinder Randhawa,Sudbury,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,2025.00,3,0,0,0
NOL-29541-17,12/29/2020 16:11:14,Gobinder Randhawa,Thunder Bay,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1200.00,0,1850.00,3,0,0,0
SOL-76001-16,12/29/2020 16:18:21,Michael Soo,Brantford,No,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,4800.00,6,0,0,0
SOL-76563-16-RV,1/6/2021 12:53:22,Cristina De Leon-Culp,Hamilton,Yes,Yes,Yes,Yes,No,Yes,Payment plan,396,635.00,1365.9816966067863,0,3120.00,5,0,0,0
SOL-77369-16,12/29/2020 16:33:47,Michael Soo,Burlington,Yes,Yes,No,No,No,No,No relief,6.306049004594181,2500.00,1365.9816966067863,0,15000.00,6,0,0,0
HOL-02735-18,12/29/2020 23:01:00,Renee Lang,Toronto,No,Yes,No,Yes,No,No,Postponement of eviction,20,2100.00,1365.9816966067863,0,3856.99,3,0,0,0
HOL-02995-18-RV,12/29/2020 23:09:03,Roderick Flynn,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,2500.00,2500.00,0,1397.26,1,0,0,0
HOL-03023-18-RV,12/29/2020 23:21:34,Ruth Carey,Toronto,Yes,No,No,Yes,No,No,No relief,16,1595.9445741324917,2100.00,0,3197.53,4,1,0,1
HOL-03157-18,12/29/2020 23:27:53,Jim McMaster,Toronto,No,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,500.00,0,1612.05,2,1,0,1
HOL-03461-18,12/29/2020 23:34:11,Harry Cho,Toronto,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1700.00,0,1903.01,2,0,0,0
HOL-03461-18-RV  ,12/29/2020 23:42:34,Sylvia Watson,Toronto,No,Yes,No,Yes,No,No,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067863,0,6675.00,5,0,0,0
HOL-03632-18,12/29/2020 23:56:30,Anna Solomon,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,2840.00,1840.00,0,2212.45,4,0,0,1
HOL-03632-18-RV,12/30/2020 0:06:34,Nancy Henderson,Toronto,No,No,No,No,No,No,Request to review is denied,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
HOL-03639-18,12/30/2020 0:47:37,Egya Sangmuah,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1100.00,0,5933.97,4,0,0,0
SOL-88977-17,12/30/2020 0:55:07,Michael Soo,Hamilton,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1300.00,1300.00,0,812.05,1,0,0,1
SOL-91391-18,12/30/2020 1:01:22,Sean Henry,Hamilton,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,874.50,2,1,0,0
SOL-94063-18,12/30/2020 1:09:55,Ibi Olabode,Hamilton,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1000.00,1000.00,0,2894.52,3,0,0,0
SWL-00849-17,12/30/2020 1:19:04,Carol McDermott,London,No,Yes,No,No,No,No,No relief,6.306049004594181,600.00,0.00,0,14777.64,18,1,0,0
TEL-87341-18,1/28/2021 20:22:45,Ruth Carey,Toronto,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1397.33,1402.5,1,5564.97,4,0,0,0
TEL-87379-18,1/28/2021 20:24:14,Gobinder Randhawa,Toronto,No,Yes,No,Yes,No,No,Payment plan,6.306049004594181,1348.04,1365.9816966067863,0,4044.12,3,0,0,0
TEL-87475-18; TET-86819-17; TET-88355-18,1/28/2021 20:25:28,Jim McMaster,Toronto,Yes,No,Yes,Yes,No,No,Postponement of eviction,35,1565.5,1550,0,9393,6,1,0,0
TEL-87479-18,1/28/2021 20:27:20,Laura Hartslief,Toronto,No,No,No,No,No,No,No relief,7,1595.9445741324917,1550,0,5100,5,0,0,0
TEL-87533-18,12/31/2020 22:19:20,Shelby Whittick,Toronto,Yes,Yes,No,No,No,No,No relief,25,750,750,0,1254.79,5,0,0,0
TEL-87594-18,1/28/2021 20:29:47,Ruth Carey,Toronto,Yes,Yes,No,No,No,No,No relief,5,1595.9445741324917,1545,0,2735,3,0,0,0
SWL-08112-17/SWL-08113-17,12/30/2020 14:03:44,Lorraine Mathers,"Not stated, hearing in Windsor",Yes,Yes,No,Yes,No,No,No relief,204,761.00,0.00,0,394.52,1,0,0,1
SWL-09935-17,12/30/2020 14:56:40,Lorraine Mathers,London,Yes,No,No,Yes,No,No,Postponement of eviction,18,240.03,0.00,0,1901.17,8,1,0,0
SWL-10701-17,12/30/2020 15:05:35,Lorraine Mathers,London,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,695.00,0.00,0,444.84,1,1,0,1
SWL-11020-17,12/30/2020 15:18:39,Nathan Ferguson,London,No,Yes,No,Yes,No,No,Postponement of eviction,7,1800.00,1800.00,0,5400.00,3,1,0,0
SWL-11574-17,12/30/2020 15:27:06,Lorraine Mathers,London,Yes,No,No,No,No,No,No relief,6.306049004594181,1350.00,0.00,0,3315.75,12,1,0,0
TEL-87731-18,1/28/2021 20:30:51,Jim McMaster,Toronto,Yes,No,No,No,No,No,No relief,14,1595.9445741324917,1246.62,0,5078.01,4,1,0,0
SWL-11631-17,12/30/2020 15:44:02,Kevin Lundy,London,Yes,No,No,Yes,No,No,Postponement of eviction,16,800.00,800.00,0,420.82,1,1,0,0
TEL-87732-18,1/28/2021 20:33:11,Shelby Whittick,Toronto,No,Yes,No,No,No,No,No relief,29,1595.9445741324917,790,0,1593.66,3,0,0,0
SWL-11849-17,12/30/2020 15:54:54,Carol McDermott,London,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TEL-07076-19,12/30/2020 15:55:30,Shelby Whittick,Peterborough,Yes,No,No,Yes,No,No,Payment plan,7,1520.00,1520.00,0,4539.95,3,1,0,0
TEL-87815-18,1/28/2021 20:34:02,Ruth Carey,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1450,0,2900,2,0,0,0
TEL-87952-18,1/28/2021 20:35:35,Laura Hartslief,Toronto,Yes,Yes,No,Yes,No,No,No relief,36,1595.9445741324917,1050,0,3287.5,4,1,0,0
TEL-87995-18,1/28/2021 20:38:17,Elana Rose,Toronto,No,Yes,No,Yes,No,No,No relief,18,1595.9445741324917,1050,0,2193.9,13,1,0,0
TEL-88012-18,1/28/2021 20:39:06,Shelby Whittick,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,2200,4,0,0,0
TEL-88019-18,1/28/2021 20:44:27,Shelby Whittick,Toronto,No,Yes,No,Yes,No,No,No relief,23,1595.9445741324917,1600,0,8086.4,7,1,0,0
SWL-12164-18,12/30/2020 16:38:54,Carol McDermott,London,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,765.00,1365.9816966067863,0,2000.00,3,0,0,0
SWL-12239-18,12/30/2020 16:52:43,Kevin Lundy,London,Yes,No,No,No,No,No,No relief,6.306049004594181,999.06,965.00,0,3855.90,4,0,0,0
SWL-12285-18,12/30/2020 17:02:36,Carol McDermott,London,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,600.00,0.00,0,4999.00,8,1,0,0
SWL-12415-18,12/30/2020 17:16:05,Carol McDermott,London,No,Yes,Yes,Yes,No,No,Postponement of eviction,16,897.00,1365.9816966067863,0,8660.06,15,0,0,0
SWL-12547-18 and SWL-12548-18,12/30/2020 17:39:53,Melanie Love,London,No,Yes,No,No,No,No,No relief,6.306049004594181,950.00,0.00,1,30.96,1,1,0,1
TEL-88259-18,1/28/2021 20:45:29,Laura Hartslief,Toronto,Yes,Yes,Yes,Yes,No,No,No relief,12,1595.9445741324917,1500,0,7500,8,0,0,0
TEL-07267-19-IN,12/30/2020 19:55:05,Shelby Whittick,Toronto,No,Yes,No,Yes,No,No,Landlord's Application for Eviction was dismissed,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TEL-88325-18,1/28/2021 20:46:28,Laura Hartslief,Toronto,No,Yes,No,Yes,No,No,No relief,8,1595.9445741324917,850,0,5950,7,0,0,0
TEL-07341-19,12/30/2020 20:08:00,Shelby Whittick,Toronto,Yes,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1126.83,1126.83,0,2990.32,4,1,1,0
TEL-88344-18-RV,1/28/2021 20:47:32,Shelby Whittick,Toronto,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,4418.93,5,0,0,1
TEL-88409-18,1/28/2021 20:48:26,Jim McMaster,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,527,4,0,0,0
TEL-07365-19,12/30/2020 20:21:28,Shelby Whittick,Toronto,Yes,No,Yes,No,No,No,No relief,6.306049004594181,1325.31,1325.31,1,7159.40,6,1,0,0
TEL-88409-18-RV,12/31/2020 22:50:42,Shelby Whittick,Toronto,Yes,No,No,Yes,No,No,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067863,0,202,4,0,0,0
TEL-88447-18,1/28/2021 20:49:24,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,No relief,36,1595.9445741324917,1099.17,0,5495.11,6,0,0,0
TEL-88465-18-RV,12/30/2020 20:38:27,Laura Hartslief,Toronto,Yes,Yes,No,Yes,No,No,Postponement of eviction,17,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TEL-88511-18,1/28/2021 20:50:45,Jim McMaster,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1356.24,1,2745.64,7,1,0,0
TEL-88533-18,12/30/2020 20:56:24,Elana Rose,Toronto,Yes,No,No,Yes,No,No,No relief,100,1595.9445741324917,880.04,0,2483.49,6.306049004594181,1,1,1
SWL-12693-18,12/30/2020 21:12:07,Carol McDermott,London,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1050.00,0,2745.51,6,1,0,0
SWL-12927-18,12/30/2020 21:27:20,Kevin Lundy,London,Yes,No,No,Yes,No,No,Postponement of eviction,17,1400.00,1400.00,0,2274.52,2,1,1,0
SWL-13125-18  ,12/30/2020 21:43:15,Kevin Lundy,London,No,Yes,Yes,No,No,No,Postponement of eviction,112,1065.40,1100.00,0,415.78,1,0,0,0
SWL-13553-18,12/30/2020 21:54:37,Melanie Love,London,Yes,No,No,No,No,No,No relief,18,1595.9445741324917,1150.00,0,4391.92,7,1,0,0
TEL-90711-18,1/14/2021 18:05:47,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,89,1595.9445741324917,1199.00,0,4035.66,3,0,1,1
TEL-90753-18   ,1/14/2021 18:09:28,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,No relief,4,2650.00,2650.00,0,7950.00,3,0,0,0
TEL-90826-18,1/14/2021 18:15:55,Jim McMaster,Whitby,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1800.00,0,9981.40,5.5,0,0,0
TEL-90922-18,1/14/2021 18:21:50,Shelby Whittick,Whitby ,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1300.00,0,3900.00,3,0,0,0
SWL-13848-18,12/30/2020 22:45:05,Nathan Ferguson,London,Yes,Yes,No,Yes,No,No,No relief,4,850.00,850.00,0,1867.67,3,0,0,0
TEL-90971-18,1/14/2021 18:24:56,Shelby Whittick,Whitby ,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1126.00,0,951.65,3,1,0,0
SWL-13901-18/SWT-14627-18,12/30/2020 23:52:56,Kevin Lundy,London,Yes,No,Yes,Yes,No,No,Postponement of eviction,10,1050.00,1050.00,0,4200.00,4,0,0,1
SWL-14299-18,12/31/2020 0:17:41,Carol McDermott,London,No,Yes,Yes,No,No,No,Postponement of eviction,12,865.30,850.00,0,831.10,1,1,0,1
SWL-14340-18,12/31/2020 0:33:55,Lorraine Mathers,London,Yes,No,No,Yes,No,No,Payment plan,6,979.47,965.00,0,1469.03,5,1,0,0
SWL-14374-18,12/31/2020 0:48:34,Nathan Ferguson,London,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1000.00,0.00,0,3912.64,4,0,0,0
SWL-14642-18,12/31/2020 1:04:07,Melanie Love,London,Yes,Yes,No,No,No,No,Payment plan,33,1015.00,1000.00,0,2445.00,4,1,0,0
SWL-15637-18,12/31/2020 1:13:10,Melanie Love,London,Yes,No,No,No,No,No,No relief,6.306049004594181,972.00,0.00,0,2673.99,4,1,0,0
TEL-88672-18,1/28/2021 20:51:49,Ruth Carey,Toronto,Yes,Yes,No,Yes,No,No,No relief,10,1950,1950,0,7800,4,0,0,0
TEL-88743-18,12/31/2020 23:03:25,Ruth Carey,Toronto,No,Yes,Yes,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,2200,0,7700,4,0,0,0
TEL-88767-18,12/31/2020 11:39:20,Laura Hartslief,Toronto,No,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,4694.26,3,0,0,0
TEL-88781-18,1/28/2021 20:52:49,Laura Hartslief,Toronto,Yes,Yes,No,No,No,No,No relief,19,1595.9445741324917,1130,0,3370,4,0,0,0
TEL-88799-18,12/31/2020 11:50:30,Laura Hartslief,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,609.89,2,1,0,0
TEL-88801-18,12/31/2020 12:24:15,Ruth Carey,Toronto,Yes,Yes,No,Yes,No,No,No relief,7,1595.9445741324917,1050,0,1700,6.306049004594181,1,0,0
TEL-88820-18,12/31/2020 12:28:53,Shelby Whittick,Toronto,No,Yes,No,Yes,No,No,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067863,0,4090,6.306049004594181,1,0,0
TEL-88845-18,12/31/2020 12:39:13,Ruth Carey,Toronto,Yes,No,No,Yes,No,No,Payment plan,48,1081.88,1365.9816966067863,0,829.62,3,1,1,0
TEL-88860-18,1/28/2021 20:54:03,Ruth Carey,Toronto,No,Yes,No,Yes,No,No,No relief,10,1595.9445741324917,1500,0,5500,4,0,0,0
SWL-15775-18,12/31/2020 13:55:52,Carol McDermott,London,Yes,No,Yes,Yes,No,No,Postponement of eviction,6.306049004594181,244.00,0.00,0,968.76,4,1,0,0
SWL-16096-18,12/31/2020 14:07:46,Carol McDermott,London,No,Yes,No,Yes,No,No,Payment plan,6.306049004594181,775.00,0.00,0,3290.00,3,1,0,0
SWL-16394-18,12/31/2020 14:15:36,Nathan Ferguson,London,Yes,No,Yes,Yes,No,No,Payment plan,6.306049004594181,1012.10,950.00,0,648.00,10,1,0,1
SWL-16478-18,12/31/2020 14:32:38,Nathan Ferguson,London,Yes,No,No,Yes,No,No,No relief,6.306049004594181,973.18,35.06,0,1561.90,11,1,0,1
SWL-16624-18,12/31/2020 14:40:14,Carol McDermott,London,No,Yes,No,No,No,No,No relief,6.306049004594181,800.00,700.00,0,1131.72,6,1,0,1
SWL-16668-18,12/31/2020 14:49:55,Melanie Love,London,Yes,No,No,No,No,No,No relief,6.306049004594181,1150.00,1150.00,0,2694.66,4,0,0,0
TEL-89083-18,1/28/2021 20:54:45,Laura Hartslief,Toronto,Yes,No,No,No,No,No,No relief,12,1595.9445741324917,1200,0,6700,6,0,0,0
TEL-89124-18,12/31/2020 15:01:39,Shelby Whittick,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1318.21,0,6185.36,16,1,1,0
TEL-89126-18,1/28/2021 20:57:28,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,51,1595.9445741324917,1365.9816966067863,0,5760,3,0,0,0
TEL-89165-18,12/31/2020 15:17:03,Elana Rose,Toronto,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,4794.8,5,0,0,0
TEL-89165-18,12/31/2020 15:17:09,Elana Rose,Toronto,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,4794.8,5,0,0,0
TEL-86029-17,12/31/2020 15:23:01,Ruth Carey,Toronto,No,Yes,No,Yes,No,No,No relief,6.306049004594181,965.00,950.00,0,2895.00,3,0,0,0
TEL-89192-18-RV,12/31/2020 15:28:25,Ruth Carey,Toronto,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,8,1,0,0
TEL-86069-17,12/31/2020 15:44:19,Shelby Whittick,Whitby,No,Yes,No,Yes,No,No,Payment plan,6.306049004594181,1765.00,1765.00,0,3917.11,5,0,0,0
TEL-86130-17,12/31/2020 15:50:14,Gobinder Randhawa,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1350.00,1350.00,0,2888.71,4,1,0,0
TEL-86133-17,12/31/2020 15:57:25,Shelby Whittick,Whitby,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1060.00,0,5363.55,5,0,0,0
TEL-86219-17,12/31/2020 16:41:11,Jim McMaster,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,969.00,0,2423.63,9,1,0,0
TEL-86233-17,12/31/2020 17:23:38,Gorbinder Randhawa,Toronto,No,Yes,No,No,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,863.00,0,769.00,4,1,0,0
TEL-86494-17,12/31/2020 17:27:45,Gobinder Randhawa,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1330.00,0,2700.62,4,1,0,0
TEL-86607-17,12/31/2020 17:34:53,Gobinder Randhawa,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1315.00,0,5711.53,5,0,0,0
TEL-89226-18,1/28/2021 20:59:06,Elana Rose,Toronto,No,Yes,No,Yes,No,No,No relief,20,1595.9445741324917,1100,0,3300,3,0,1,0
TEL-89232-18-RV,12/31/2020 18:25:29,Laura Hartslief,Toronto,No,Yes,No,Yes,No,No,Payment plan,276,1595.9445741324917,1365.9816966067863,0,3544,3,0,0,0
TEL-89270-18,1/28/2021 21:01:56,Shelby Whittick,Toronto,No,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,695,0,3620,8,1,0,0
TEL-89315-18,1/28/2021 21:03:05,Elana Rose,Toronto,No,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5458.89,3,1,0,0
TEL-89342-18-RV,1/28/2021 21:05:00,Ruth Carey,Toronto,No,Yes,Yes,Yes,No,Yes,No relief,6.306049004594181,990,1365.9816966067863,0,4680,7,1,0,0
TEL-89372-18,12/31/2020 19:07:30,Shelby Whittick,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,200.81,5,0,0,0
TEL-89392-18-AM,1/28/2021 21:06:12,Ruth Carey,Toronto,Yes,Yes,No,No,No,No,No relief,28,1157.1,1140,0,3471.5,6,1,0,0
TEL-89392-18-RV  ,12/31/2020 19:23:15,Shelby Whittick,Toronto,Yes,No,No,Yes,No,No,No relief,27,1595.9445741324917,1140,0,5608.17,7,1,0,0
TEL-89446-18,12/31/2020 19:31:46,Shelby Whittick,Toronto,No,Yes,No,No,No,No,No relief,13,1595.9445741324917,1890,0,9734.86,5,0,0,0
TEL-89446-18,1/28/2021 21:08:42,Shelby Whittick,Toronto,No,Yes,No,No,No,No,No relief,13,1595.9445741324917,1890,0,9450,6,0,0,0
TEL-89449-18,1/28/2021 21:09:27,Elana Rose,Toronto,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,2450,0,9800,5,0,0,0
TEL-86690-17,1/1/2021 13:12:27,Shelby Whittick,Whitby,No,Yes,No,Yes,No,No,No relief,6.306049004594181,2600.00,2600.00,0,7800.00,3,0,0,0
TEL-86783-17,1/1/2021 13:31:55,Laura Hartslief,Toronto,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,2200.00,0,16500.00,8,0,0,0
TEL-86823-17,1/1/2021 13:49:46,Laura Hartslief,Whitby,Yes,No,No,Yes,No,No,Postponement of eviction,48,1300.00,1365.9816966067863,0,6500.00,4,0,0,0
TEL-86908-17,1/1/2021 13:55:42,Jim McMaster,Peterborough,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1000.00,0,5600.00,5,0,0,0
TEL-86991-17,1/1/2021 14:24:17,Laura Hartslief,Toronto,Yes,Yes,No,Yes,No,No,No relief,20,1700,1700,0,13964.74,12,0,0,0
TEL-87077-17,1/1/2021 14:43:30,Shelby Whittick,Whitby,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,7600.00,0,7600.00,3,0,0,0
TEL-87094-17,1/1/2021 14:55:02,Laura Hartslief,Toronto,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1200.00,1200.00,0,4800.00,4,0,0,0
TEL-87107-17,1/1/2021 15:03:25,Laura Hartslief,Whitby,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1619.00,0,4887.00,3,0,0,0
TEL-87140-17,1/1/2021 15:13:34,Ruth Carey,Whitby,No,Yes,No,No,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,3450.00,3,0,0,0
TEL-07737-19,1/1/2021 16:42:38,Sonia Anwar-Ali,Whitby,No,Yes,No,No,No,No,No relief,6.306049004594181,984.50,984.50,0,3938.00,4,1,0,0
TEL-07999-20,1/1/2021 16:52:29,Sonia Anwar-Ali,Toronto,Yes,Yes,No,No,No,No,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067863,0,3996.80,4,1,1,0
TEL-11185-20-IN-AM,1/1/2021 17:01:44,Troy Rossignol,by telephone,No,Yes,No,No,No,No,No relief,9,650.00,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TEL-61064-15-RV,1/1/2021 17:11:51,Sonia Anwar-Ali,Peterborough,No,Yes,No,No,No,No,Application dismissed,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,1,0
TET-99341-19,1/1/2021 17:26:33,Ruth Carey,Peterborough,No,Yes,Yes,Yes,No,No,Abatement of Rent,20,833.33,1365.9816966067863,0,0.00,6.306049004594181,0,0,0
TSL-94351-18,1/1/2021 17:44:02,Nancy Henderson,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,21,1359.09,1359.09,0,2269.54,3,1,0,0
TSL-94482-18,1/1/2021 18:19:11,Renee Lang,Toronto,No,Yes,Yes,No,No,No,No relief,6.306049004594181,1950.00,1950.00,0,7800.00,3,1,0,0
TNL-08103-18,1/1/2021 22:03:29,Nancy Morris,Toronto,No,No,Yes,No,No,No,Application Dismissed,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TNL-15147-19,1/1/2021 22:13:03,Debbie Mosaheb,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,713.00,1365.9816966067863,0,6417.00,9,1,0,1
TEL-91060-18,1/14/2021 18:27:48,Elana Rose,Whitby ,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,2200.00,0,6600.00,3,0,0,0
TNL-17478-19,1/1/2021 22:22:46,Nancy Morris,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1190.00,1190.00,0,8330.00,7,0,0,0
TNL-19088-19,1/1/2021 22:27:28,Nancy Morris,Toronto,No,No,No,No,No,No,No relief,6.306049004594181,1000.00,1000.00,0,6000.00,6,0,0,0
TEL-91060-18-RV,1/14/2021 18:29:39,Ruth Carey,Review completed without hearing ,No,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,2200.00,0,6600.00,3,0,0,0
TEL-91077-18   ,1/14/2021 18:32:32,Elana Rose,Whitby ,Yes,No,No,Yes,No,No,Payment plan,36,1595.9445741324917,1323.04,0,3335.00,5,1,0,0
TEL-91104-18,1/14/2021 18:42:06,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,120,1595.9445741324917,1365.9816966067863,0,3552.23,5,1,0,0
TEL-91121-18,1/14/2021 18:47:18,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,No relief,108,1595.9445741324917,1140.82,0,1309.48,4,1,1,0
TEL-91207-18,1/14/2021 18:53:17,Elana Rose,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,850.00,0,3058.48,7,0,0,0
TEL-91208-18,1/14/2021 18:55:35,Elana Rose,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1189.00,0,1572.50,4,1,0,0
